product_name,category,sale_date,quantity,unit_price
Motichoor Laddoo,Sweets,2026-05-12,70,200.0
Kesar Jalebi,Sweets,2026-05-13,114,150.0
Spongy Rosogolla,Sweets,2026-05-13,85,180.0
Premium Kaju Katli,Premium,2026-05-13,35,800.0
Motichoor Laddoo,Sweets,2026-05-13,89,200.0
Kesar Jalebi,Sweets,2026-05-14,104,150.0
Spongy Rosogolla,Sweets,2026-05-14,87,180.0
Premium Kaju Katli,Premium,2026-05-14,59,800.0
Motichoor Laddoo,Sweets,2026-05-14,95,200.0
Kesar Jalebi,Sweets,2026-05-15,214,150.0
Spongy Rosogolla,Sweets,2026-05-15,143,180.0
Premium Kaju Katli,Premium,2026-05-15,73,800.0
Motichoor Laddoo,Sweets,2026-05-15,168,200.0
Kesar Jalebi,Sweets,2026-05-16,226,150.0
Spongy Rosogolla,Sweets,2026-05-16,255,180.0
Premium Kaju Katli,Premium,2026-05-16,77,800.0
Motichoor Laddoo,Sweets,2026-05-16,189,200.0
Kesar Jalebi,Sweets,2026-05-17,256,150.0
Spongy Rosogolla,Sweets,2026-05-17,163,180.0
Premium Kaju Katli,Premium,2026-05-17,116,800.0
Motichoor Laddoo,Sweets,2026-05-17,176,200.0
Kesar Jalebi,Sweets,2026-05-18,107,150.0
Spongy Rosogolla,Sweets,2026-05-18,107,180.0
Premium Kaju Katli,Premium,2026-05-18,42,800.0
Motichoor Laddoo,Sweets,2026-05-18,83,200.0
Kesar Jalebi,Sweets,2026-05-19,94,150.0
Spongy Rosogolla,Sweets,2026-05-19,78,180.0
Premium Kaju Katli,Premium,2026-05-19,46,800.0
Motichoor Laddoo,Sweets,2026-05-19,91,200.0
Kesar Jalebi,Sweets,2026-05-20,85,150.0
Spongy Rosogolla,Sweets,2026-05-20,73,180.0
Premium Kaju Katli,Premium,2026-05-20,57,800.0
Motichoor Laddoo,Sweets,2026-05-20,67,200.0
Kesar Jalebi,Sweets,2026-05-21,89,150.0
Spongy Rosogolla,Sweets,2026-05-21,110,180.0
Premium Kaju Katli,Premium,2026-05-21,35,800.0
Motichoor Laddoo,Sweets,2026-05-21,87,200.0
Kesar Jalebi,Sweets,2026-05-22,217,150.0
Spongy Rosogolla,Sweets,2026-05-22,208,180.0
Premium Kaju Katli,Premium,2026-05-22,95,800.0
Motichoor Laddoo,Sweets,2026-05-22,228,200.0
Kesar Jalebi,Sweets,2026-05-23,182,150.0
Spongy Rosogolla,Sweets,2026-05-23,175,180.0
Premium Kaju Katli,Premium,2026-05-23,109,800.0
Motichoor Laddoo,Sweets,2026-05-23,152,200.0
Kesar Jalebi,Sweets,2026-05-24,204,150.0
Spongy Rosogolla,Sweets,2026-05-24,172,180.0
Premium Kaju Katli,Premium,2026-05-24,133,800.0
Motichoor Laddoo,Sweets,2026-05-24,214,200.0
Kesar Jalebi,Sweets,2026-05-25,112,150.0
Spongy Rosogolla,Sweets,2026-05-25,76,180.0
Premium Kaju Katli,Premium,2026-05-25,57,800.0
Motichoor Laddoo,Sweets,2026-05-25,79,200.0
Kesar Jalebi,Sweets,2026-05-26,120,150.0
Spongy Rosogolla,Sweets,2026-05-26,102,180.0
Premium Kaju Katli,Premium,2026-05-26,49,800.0
Motichoor Laddoo,Sweets,2026-05-26,72,200.0
Kesar Jalebi,Sweets,2026-05-27,89,150.0
Spongy Rosogolla,Sweets,2026-05-27,93,180.0
Premium Kaju Katli,Premium,2026-05-27,54,800.0
Motichoor Laddoo,Sweets,2026-05-27,70,200.0
Kesar Jalebi,Sweets,2026-05-28,114,150.0
Spongy Rosogolla,Sweets,2026-05-28,103,180.0
Premium Kaju Katli,Premium,2026-05-28,59,800.0
Motichoor Laddoo,Sweets,2026-05-28,60,200.0
Kesar Jalebi,Sweets,2026-05-29,239,150.0
Spongy Rosogolla,Sweets,2026-05-29,133,180.0
Premium Kaju Katli,Premium,2026-05-29,99,800.0
Motichoor Laddoo,Sweets,2026-05-29,155,200.0
Kesar Jalebi,Sweets,2026-05-30,229,150.0
Spongy Rosogolla,Sweets,2026-05-30,139,180.0
Premium Kaju Katli,Premium,2026-05-30,106,800.0
Motichoor Laddoo,Sweets,2026-05-30,219,200.0
