product_name,category,sale_date,quantity,unit_price,region
Tata Punch,Compact SUV,2026-05-10,8,650000.0,Trichy
Mahindra XUV700,Premium SUV,2026-05-10,4,1400000.0,Hyderabad
Renault Duster,Mid SUV,2026-05-10,2,1050000.0,Chennai
Tata Nexon,Compact SUV,2026-05-11,2,800000.0,Gurgaon
Suzuki Vitara Brezza,SUV,2026-05-11,7,850000.0,Hyderabad
Mahindra XUV700,Premium SUV,2026-05-11,3,1400000.0,Vizag
Hyundai i20,Premium Hatchback,2026-05-11,4,750000.0,Vizag
Tata Punch,Compact SUV,2026-05-11,5,650000.0,Gurgaon
Renault Duster,Mid SUV,2026-05-11,8,1050000.0,Hyderabad
Hyundai i20,Premium Hatchback,2026-05-12,2,750000.0,Bengaluru
Tata Punch,Compact SUV,2026-05-12,8,650000.0,Chennai
Mahindra XUV700,Premium SUV,2026-05-12,7,1400000.0,Chennai
Suzuki Vitara Brezza,SUV,2026-05-12,8,850000.0,Bengaluru
Mahindra XUV700,Premium SUV,2026-05-13,7,1400000.0,Chennai
Hyundai i20,Premium Hatchback,2026-05-13,5,750000.0,Chennai
Renault Duster,Mid SUV,2026-05-13,2,1050000.0,Gurgaon
Mahindra XUV700,Premium SUV,2026-05-14,6,1400000.0,Chennai
Tata Nexon,Compact SUV,2026-05-14,5,800000.0,Vizag
Suzuki Vitara Brezza,SUV,2026-05-14,3,850000.0,Trichy
Tata Punch,Compact SUV,2026-05-14,7,650000.0,Bengaluru
Renault Duster,Mid SUV,2026-05-14,6,1050000.0,Gurgaon
Hyundai i20,Premium Hatchback,2026-05-14,2,750000.0,Hyderabad
Tata Punch,Compact SUV,2026-05-15,28,650000.0,Trichy
Mahindra XUV700,Premium SUV,2026-05-15,3,1400000.0,Gurgaon
Tata Nexon,Compact SUV,2026-05-15,7,800000.0,Trichy
Suzuki Vitara Brezza,SUV,2026-05-15,2,850000.0,Hyderabad
Mahindra XUV700,Premium SUV,2026-05-16,8,1400000.0,Hyderabad
Suzuki Vitara Brezza,SUV,2026-05-16,5,850000.0,Chennai
Tata Nexon,Compact SUV,2026-05-16,5,800000.0,Vizag
Renault Duster,Mid SUV,2026-05-16,5,1050000.0,Bengaluru
Renault Duster,Mid SUV,2026-05-17,5,1050000.0,Gurgaon
Suzuki Vitara Brezza,SUV,2026-05-17,4,850000.0,Gurgaon
Tata Nexon,Compact SUV,2026-05-17,3,800000.0,Chennai
Tata Punch,Compact SUV,2026-05-17,6,650000.0,Gurgaon
Mahindra XUV700,Premium SUV,2026-05-17,5,1400000.0,Bengaluru
Hyundai i20,Premium Hatchback,2026-05-17,6,750000.0,Vizag
Tata Punch,Compact SUV,2026-05-18,5,650000.0,Trichy
Suzuki Vitara Brezza,SUV,2026-05-18,4,850000.0,Gurgaon
Mahindra XUV700,Premium SUV,2026-05-18,6,1400000.0,Trichy
Tata Nexon,Compact SUV,2026-05-18,3,800000.0,Bengaluru
Renault Duster,Mid SUV,2026-05-18,4,1050000.0,Hyderabad
Mahindra XUV700,Premium SUV,2026-05-19,6,1400000.0,Vizag
Tata Nexon,Compact SUV,2026-05-19,7,800000.0,Hyderabad
Suzuki Vitara Brezza,SUV,2026-05-19,6,850000.0,Chennai
Tata Punch,Compact SUV,2026-05-19,6,650000.0,Chennai
Hyundai i20,Premium Hatchback,2026-05-19,7,750000.0,Vizag
Tata Punch,Compact SUV,2026-05-20,3,650000.0,Bengaluru
Renault Duster,Mid SUV,2026-05-20,7,1050000.0,Bengaluru
Tata Nexon,Compact SUV,2026-05-20,8,800000.0,Chennai
Suzuki Vitara Brezza,SUV,2026-05-20,7,850000.0,Hyderabad
Mahindra XUV700,Premium SUV,2026-05-21,6,1400000.0,Bengaluru
Renault Duster,Mid SUV,2026-05-21,4,1050000.0,Chennai
Tata Nexon,Compact SUV,2026-05-21,3,800000.0,Chennai
Tata Punch,Compact SUV,2026-05-22,2,650000.0,Bengaluru
Tata Nexon,Compact SUV,2026-05-22,2,800000.0,Hyderabad
Hyundai i20,Premium Hatchback,2026-05-22,2,750000.0,Chennai
Suzuki Vitara Brezza,SUV,2026-05-22,2,850000.0,Bengaluru
Renault Duster,Mid SUV,2026-05-22,7,1050000.0,Vizag
Renault Duster,Mid SUV,2026-05-23,6,1050000.0,Hyderabad
Hyundai i20,Premium Hatchback,2026-05-23,6,750000.0,Gurgaon
Tata Punch,Compact SUV,2026-05-23,5,650000.0,Trichy
Suzuki Vitara Brezza,SUV,2026-05-23,2,850000.0,Trichy
Tata Nexon,Compact SUV,2026-05-23,4,800000.0,Vizag
Hyundai i20,Premium Hatchback,2026-05-24,2,750000.0,Chennai
Renault Duster,Mid SUV,2026-05-24,7,1050000.0,Chennai
Mahindra XUV700,Premium SUV,2026-05-24,4,1400000.0,Trichy
Tata Punch,Compact SUV,2026-05-24,8,650000.0,Bengaluru
Suzuki Vitara Brezza,SUV,2026-05-24,4,850000.0,Gurgaon
Mahindra XUV700,Premium SUV,2026-05-25,7,1400000.0,Bengaluru
Tata Punch,Compact SUV,2026-05-25,3,650000.0,Vizag
Renault Duster,Mid SUV,2026-05-25,2,1050000.0,Bengaluru
Tata Nexon,Compact SUV,2026-05-25,2,800000.0,Hyderabad
Hyundai i20,Premium Hatchback,2026-05-25,6,750000.0,Chennai
